primary_id,title,dynasty,author,edition,fulltext_read,fulltext_search,fulltext_download,image
A1057,新譯大方廣佛華嚴經音義,唐,慧菀,,y,y,y,n
A1267,大唐開元釋教廣品歷章,唐,玄逸,,y,y,y,n
A1490,天聖釋教總錄,宋,惟淨,,y,y,y,n
A1493,大中祥符法寶錄,宋,楊億,,y,y,y,n
A1494,景祐新修法寶錄,宋,呂夷簡,,y,y,y,n
A1504,佛說大乘僧伽吒法義經,宋,金總持,,y,y,y,n
A1505,佛說清淨毘奈耶最上大乘經,宋,智吉祥,,y,y,y,n
A1548,因明論理門十四過類疏,唐,窺基,,y,y,y,n
A1561,瑜伽師地論義演,唐,"清素,澄淨",,y,y,y,n
B0001,均如大師華嚴學全書,,"均如,金知見",,y,y,y,n
B0002,華嚴經疏論纂要,,道霈,,y,y,y,n
B0003,南傳長部經典,,江鍊百,,y,y,y,n
B0004,南傳中部經典,,芝峯,,y,y,y,n
B0005,南傳小部經典,,夏丏尊,,y,y,y,n
B0006,泰國大藏經小部經,,黃謹良,,y,y,y,n
B0007,發趣論,,范寄東,,y,y,y,n
B0008,大發趣論註,,"覺音,范寄東",,y,y,y,n
B0009,冠導阿毗達磨俱舍論,,佐伯旭雅,,y,y,y,n
B0010,南傳轉法輪經,,丘哌博,,y,y,y,n
B0011,轉法輪經,,岫廬,,y,y,y,n
B0012,三寶經,,法舫,,y,y,y,n
B0013,吉祥經,,法舫,,y,y,y,n
B0014,婆羅門正法經,,法舫,,y,y,y,n
B0015,南傳羯臘摩經,,"丘寶光,徐鄂雲",,y,y,y,n
B0016,南傳大悲經,,法舫,,y,y,y,n
B0017,南傳法句經,,了參,,y,y,y,n
B0018,南傳大般湼槃經,,巴宙,,y,y,y,n
B0019,南傳念安般經,,湯用彤,,y,y,y,n
B0020,隨念三寶經淺說,,"法尊,雲根",,y,y,y,n
B0021,毒語心經,,"白隱慧鶴,南天棒鄧州",,y,y,y,n
B0022,新譯薄伽梵母智慧到彼岸心經詮釋,,貢噶呼圖克圖,,y,y,y,n
B0023,金剛般若波羅蜜經講義,,江味農,,y,y,y,n
B0024,佛說阿彌陀經註釋會要,,"鳩摩羅什,法舫",,y,y,y,n
B0025,阿毗達摩攝義論,,"阿耨樓陀,法舫",,y,y,y,n
B0026,四分比丘尼戒本註解,,佛瑩,,y,y,y,n
B0027,瑜伽師地論戒品纂釋,,"宗喀巴,湯薌銘",,y,y,y,n
B0028,菩提正道菩薩戒論,,"宗喀巴,湯薌銘",,y,y,y,n
B0029,菩薩戒品釋,,"宗喀巴,法尊",,y,y,y,n
B0030,現觀莊嚴論中八品七十義略解,,法尊,,y,y,y,n
B0031,現觀莊嚴論略釋,,"彌勒,法尊",,y,y,y,n
B0032,七十空性論科攝,,"龍樹,法尊,弘悲",,y,y,y,n
B0033,大乘修心七義論釋,,"無著賢,慧海",,y,y,y,n
B0034,辨法法性論,,"彌勒,法尊",,y,y,y,n
B0035,西藏傳本攝大乘論,,"無著,呂澂",,y,y,y,n
B0036,三自性論,,"世親,劉孝蘭",,y,y,y,n
B0037,集量論釋略抄,,呂澂,,y,y,y,n
B0038,安慧三十唯識釋略抄,,呂澂,,y,y,y,n
B0039,觀所緣釋論會譯,,"呂澂,印滄",,y,y,y,n
B0040,集量論略解,,"陳那,法尊",,y,y,y,n
B0041,正理滴論（譯自梵文本）,,"法稱,王森",,y,y,y,n
B0042,正理滴論（譯自西藏文本）,,"法稱,楊化群",,y,y,y,n
B0043,釋量論略解,,"法稱,僧成,法尊",,y,y,y,n
B0044,入中論善顯密意疏,,"宗喀巴,法尊",,y,y,y,n
B0045,入中論講記,,"月稱,法尊",,y,y,y,n
B0046,中論略義,,"宗喀巴,潭影",,y,y,y,n
B0047,中論文句釋,,僧成釋 常浩,,y,y,y,n
B0048,辨了不了義善說藏論,,"宗喀巴,法尊",,y,y,y,n
B0049,菩提道炬論,,"阿底霞,超一",,y,y,y,n
B0050,地道建立,,"三寶無畏王,法尊",,y,y,y,n
B0051,菩提道次恒修教授,,"札迦,法尊",,y,y,y,n
B0052,緣起讚,,"宗喀巴,法尊",,y,y,y,n
B0053,集諸學頌,,"寂靜,超一",,y,y,y,n
B0054,菩提道次第論攝頌,,"宗喀巴,超一",,y,y,y,n
B0055,菩提道次第論極略頌,,"宗喀巴,超一",,y,y,y,n
B0056,西藏法寶貫珠,,"達瓦桑杜,伊文思溫慈,趙洪鑄",,y,y,y,n
B0057,密宗道次第論,,"克主,法尊",,y,y,y,n
B0058,涅般道大手印瑜伽法要釋,,"白蓮花,光明心",,y,y,y,n
B0059,明行道六成就法,,"珀瑪迦爾,張妙定蓮菩提金剛正",,y,y,y,n
